dynamics,tau,alpha,k_equivalent,tracking_mse,tracking_rmse,tracking_mse_sd,tracking_mse_se,n_games,n_replications,refined_alpha,refined_k_equivalent
smooth,50,0.3424606833431912,59.491514017905914,0.27656262783267954,0.5258922207379375,0.007297882548584302,0.0023077930949920813,40000,10,0.32250020949012265,56.024024557681194
smooth,100,0.23455863927177067,40.74700908738615,0.17915314281276426,0.42326486130172,0.007117914301639678,0.002250882138306816,40000,10,0.22025724715908107,38.26260281615584
smooth,200,0.1329573974236247,23.09706561171913,0.11540511504599069,0.3397132835877789,0.005670308021909548,0.0017931088383958114,40000,10,0.14522393405792108,25.227981280654735
smooth,400,0.09106536235445348,15.819673745223703,0.07391458810316096,0.27187237465980424,0.0034710195280768007,0.0010976327511645458,40000,10,0.09396437856058278,16.323284441731726
smooth,800,0.06237261244160289,10.835232562111297,0.0468710068215534,0.21649712889909972,0.003149791643470682,0.0009960515748332383,64000,10,0.060222103057609125,10.461650818611437
ou,50,0.4137998811884742,71.88440200495022,0.49286790352861304,0.7020455138583346,0.013944521783867802,0.0044096449718856465,40000,10,0.41788644262929403,72.59431043843288
ou,100,0.3424606833431912,59.491514017905914,0.36397666236265447,0.6033047839712979,0.00993294211794927,0.0031410720959336564,40000,10,0.3247040611531541,56.40687280415633
ou,200,0.23455863927177067,40.74700908738615,0.2800498866398734,0.5291973985573563,0.013444786199329763,0.004251614704388063,40000,10,0.24945671739554848,43.335070335434246
ou,400,0.1941206741247779,33.722215038292155,0.20201932674655693,0.4494656012939777,0.011897779427800221,0.0037624082090143562,40000,10,0.18269033155713016,31.73656115693485
ou,800,0.1329573974236247,23.09706561171913,0.14333520278331996,0.3785963586503705,0.009291003557043705,0.002938073298898426,64000,10,0.13410502939895064,23.296429705375047
jump,50,0.4137998811884742,71.88440200495022,0.4874391992687216,0.6981684605227606,0.0227906622003784,0.007207040193670054,40000,10,0.41672594106796484,72.39271066870272
jump,100,0.3424606833431912,59.491514017905914,0.3539646438533254,0.5949492783870952,0.021415568696625774,0.006772197446914094,40000,10,0.3116035680543296,54.13108405894389
jump,200,0.23455863927177067,40.74700908738615,0.27370563884391563,0.5231688435332476,0.030572192604598723,0.009667776169588747,40000,10,0.25127127185256876,43.65029073055299
jump,400,0.1941206741247779,33.722215038292155,0.19025739107341455,0.4361850422394314,0.0170469824623675,0.005390729181402689,40000,10,0.18038634358940484,31.336317452633015
jump,800,0.1329573974236247,23.09706561171913,0.1433696022154352,0.37864178614547445,0.019424024017247098,0.0061424157220314555,64000,10,0.13759985869817792,23.903543737314337
