model,bin,n,mean_prediction,empirical_score
Constant-step Elo,0,139,0.051286014696894436,0.12949640287769784
Constant-step Elo,1,165,0.14668943984751712,0.22424242424242424
Constant-step Elo,2,154,0.25037898368169825,0.288961038961039
Constant-step Elo,3,190,0.3503015814102555,0.45789473684210524
Constant-step Elo,4,171,0.4470350757098097,0.5350877192982456
Constant-step Elo,5,191,0.5524688837121242,0.612565445026178
Constant-step Elo,6,170,0.6497981146304207,0.6852941176470588
Constant-step Elo,7,159,0.7481028249647905,0.720125786163522
Constant-step Elo,8,149,0.8503916538920087,0.7416107382550335
Constant-step Elo,9,142,0.9420191852717164,0.9014084507042254
Frozen initial ratings,0,172,0.04948592712673944,0.1511627906976744
Frozen initial ratings,1,177,0.14971433721721553,0.2655367231638418
Frozen initial ratings,2,128,0.24963107728682743,0.2890625
Frozen initial ratings,3,179,0.34948248144564337,0.44692737430167595
Frozen initial ratings,4,178,0.449780921035072,0.5337078651685393
Frozen initial ratings,5,160,0.5482675805103933,0.5875
Frozen initial ratings,6,152,0.6538359555306503,0.6973684210526315
Frozen initial ratings,7,139,0.7498660317881968,0.7769784172661871
Frozen initial ratings,8,188,0.8500561128284636,0.7180851063829787
Frozen initial ratings,9,157,0.9454194821136753,0.8694267515923567
Lichess pre-game ratings,0,163,0.05087413851832912,0.147239263803681
Lichess pre-game ratings,1,170,0.1491648528896603,0.24411764705882352
Lichess pre-game ratings,2,141,0.24957627019680406,0.26595744680851063
Lichess pre-game ratings,3,177,0.3505243552667094,0.4717514124293785
Lichess pre-game ratings,4,183,0.4502208882090745,0.5327868852459017
Lichess pre-game ratings,5,164,0.5523003487615471,0.6128048780487805
Lichess pre-game ratings,6,163,0.6522771690297543,0.6717791411042945
Lichess pre-game ratings,7,144,0.7512904402389414,0.7638888888888888
Lichess pre-game ratings,8,172,0.8503696395695519,0.7383720930232558
Lichess pre-game ratings,9,153,0.9435771802781453,0.8725490196078431
