drift_sd_per_event,k_factor,tracking_rmse,n_players,n_games
0.0,2.0,12.298831528023252,24,24000
0.0,4.0,17.47694763155097,24,24000
0.0,8.0,25.45190861271463,24,24000
0.0,16.0,36.862995678335416,24,24000
0.0,32.0,53.24629702064711,24,24000
0.0,64.0,78.72151569886981,24,24000
0.6,2.0,38.43866616163607,24,24000
0.6,4.0,31.414318008651094,24,24000
0.6,8.0,31.726454147759807,24,24000
0.6,16.0,40.013215324283706,24,24000
0.6,32.0,56.03598870613683,24,24000
0.6,64.0,81.40616394493725,24,24000
1.0,2.0,64.22919462767318,24,24000
1.0,4.0,49.20447491906469,24,24000
1.0,8.0,42.1853751234909,24,24000
1.0,16.0,44.017446521088395,24,24000
1.0,32.0,55.78014811586489,24,24000
1.0,64.0,79.75565207010769,24,24000
