model,bin,n,mean_prediction,empirical_score
Overall Elo,0,182,0.0668965142087644,0.09340659340659341
Overall Elo,1,678,0.15503713072543393,0.18436578171091444
Overall Elo,2,1044,0.25242716400823356,0.2710727969348659
Overall Elo,3,1513,0.3530576135050477,0.3985459352280238
Overall Elo,4,1827,0.4506432629051469,0.47400109469074986
Overall Elo,5,1752,0.5498040516897951,0.54337899543379
Overall Elo,6,1546,0.648406728275237,0.6313065976714101
Overall Elo,7,982,0.7467066168553649,0.7260692464358453
Overall Elo,8,554,0.8421149316399184,0.8393501805054152
Overall Elo,9,209,0.9339818278711352,0.8851674641148325
Surface Elo,0,240,0.06622583468906065,0.09583333333333334
Surface Elo,1,732,0.1561191665868134,0.18169398907103826
Surface Elo,2,1071,0.25299878102975226,0.3081232492997199
Surface Elo,3,1446,0.352276600592806,0.3769017980636238
Surface Elo,4,1733,0.45047371290973914,0.48182342758222735
Surface Elo,5,1663,0.5493455870700288,0.5423932651834035
Surface Elo,6,1480,0.6482824405020671,0.6229729729729729
Surface Elo,7,1043,0.7466207445893704,0.7248322147651006
Surface Elo,8,642,0.8456489826374892,0.8161993769470405
Surface Elo,9,237,0.9355098369350189,0.9071729957805907
Multi-timescale Elo,0,212,0.06691815908480706,0.08490566037735849
Multi-timescale Elo,1,720,0.15535695511642664,0.19166666666666668
Multi-timescale Elo,2,1059,0.25237317921537156,0.29650613786591123
Multi-timescale Elo,3,1498,0.3521177731251619,0.3965287049399199
Multi-timescale Elo,4,1759,0.4503566496981135,0.4747015349630472
Multi-timescale Elo,5,1648,0.5498248221413106,0.5406553398058253
Multi-timescale Elo,6,1496,0.648230919877635,0.6169786096256684
Multi-timescale Elo,7,1057,0.7452757346645429,0.7341532639545885
Multi-timescale Elo,8,610,0.8429616143012099,0.8049180327868852
Multi-timescale Elo,9,228,0.9352086150637964,0.8991228070175439
De-vigged market,0,241,0.06450980865963378,0.012448132780082987
De-vigged market,1,715,0.15672225558582648,0.14545454545454545
De-vigged market,2,1096,0.2518917735526987,0.25
De-vigged market,3,1518,0.35289065658759455,0.3544137022397892
De-vigged market,4,1620,0.44758630769830193,0.47160493827160493
De-vigged market,5,1558,0.554753362569418,0.5609756097560976
De-vigged market,6,1571,0.6474135257670822,0.6626352641629535
De-vigged market,7,1099,0.746750271226903,0.7497725204731575
De-vigged market,8,593,0.8449048571971064,0.8583473861720068
De-vigged market,9,266,0.9343184183604094,0.943609022556391
Market + Elo overlay,0,264,0.06307493117876742,0.03787878787878788
Market + Elo overlay,1,678,0.1565458565053784,0.13126843657817108
Market + Elo overlay,2,1048,0.25165831476723194,0.2566793893129771
Market + Elo overlay,3,1451,0.35248679747669026,0.3397656788421778
Market + Elo overlay,4,1562,0.44813064718678336,0.4622279129321383
Market + Elo overlay,5,1453,0.5530439154463674,0.5478320715760495
Market + Elo overlay,6,1624,0.6492052194149837,0.6336206896551724
Market + Elo overlay,7,1177,0.7463365047116592,0.7612574341546304
Market + Elo overlay,8,694,0.8430185605885493,0.8242074927953891
Market + Elo overlay,9,326,0.936368851659309,0.9386503067484663
